Población por distritos y secciones censales de Gipuzkoa, según sexo, grupos de edad y nacionalidad. 01/01/2019
Población según el sexo;Grupos de edad (%);Extranjeros (%)
Total;Hombres;Mujeres;Sex ratio;0-19;20-64;>=65;UE-27;Resto
Cod;Municipio;Dist;Secc
056;Mutriku;02;00;5334;2703;2631;1,027;20,2;59,4;20,4;1,8;5,6
01;00;4489;2266;2223;1,019;19,8;60,3;19,9;1,7;6,1
01;1372;713;659;1,082;21,6;61,2;17,2;1,7;5,2
02;1527;771;756;1,02;15,5;58,3;26,2;0,9;5,6
03;1590;782;808;0,968;22,3;61,5;16,2;2,5;7,2
02;00;845;437;408;1,071;22,4;54,8;22,8;2,1;3,2
01;845;437;408;1,071;22,4;54,8;22,8;2,1;3,2
057;Mutiloa;01;00;250;137;113;1,212;24;55,2;20,8;0,4;0,4
01;250;137;113;1,212;24;55,2;20,8;0,4;0,4
058;Olaberria;01;00;914;471;443;1,063;17,9;55;27;4,9;2,4
01;914;471;443;1,063;17,9;55;27;4,9;2,4
059;Oñati;02;00;11355;5597;5758;0,972;20,5;56,5;23;1,1;3,5
01;00;9356;4582;4774;0,96;19,9;56,7;23,4;1,1;3,8
01;1201;591;610;0,969;18,8;55,1;26,1;0,2;3,2
02;990;476;514;0,926;17,4;53,7;28,9;1,4;5,9
03;1111;521;590;0,883;16,3;47,6;36,1;1,1;4,2
04;1119;544;575;0,946;17,6;51,9;30,5;0,8;6,7
05;1304;643;661;0,973;20,4;59;20,6;1,8;4,7
06;1993;1020;973;1,048;18,2;64,8;17;1,2;1,7
07;1638;787;851;0,925;28;57,5;14,5;1,3;2,5
02;00;1999;1015;984;1,032;23,1;55,7;21,2;1,1;2,1
01;1999;1015;984;1,032;23,1;55,7;21,2;1,1;2,1
060;Orexa;01;00;110;63;47;1,34;30,9;52,7;16,4;0;0,9
01;110;63;47;1,34;30,9;52,7;16,4;0;0,9
061;Orio;01;00;6061;3048;3013;1,012;22,9;60,5;16,7;1,1;6,7
01;1933;977;956;1,022;25,7;60;14,3;1,1;5,7
02;1472;737;735;1,003;18,9;59,2;21,9;1,2;6,8
03;2656;1334;1322;1,009;23;61,5;15,5;1,1;7,4
062;Ormaiztegi;01;00;1295;645;650;0,992;22,3;55,8;21,9;1,9;5,9
01;1295;645;650;0,992;22,3;55,8;21,9;1,9;5,9
